year_bought,repatriation,repatriation_year
1972,EK rep,2006
1999,EK rep,2006
1980,EK rep,2006
1982,EK rep,2006
1984,EK rep,2006
1981,EK rep,2006
1982,EK rep,2006
1984,EK rep,2006
1998,2012 Dallas rep,2012
1998,2012 Dallas rep,2012
1996,2012 Dallas rep,2012
1999,2012 Dallas rep,2012
1977,Cleveland rep,2008
1990,Cleveland rep,2008
1988,Cleveland rep,2008
1986,Cleveland rep,2008
1986,Cleveland rep,2008
1986,Cleveland rep,2008
1986,Cleveland rep,2008
1986,Cleveland rep,2008
1987,Cleveland rep,2008
1975,Cleveland rep,2008
1975,Cleveland rep,2008
1996,Cleveland rep,2008
1990,Cleveland rep,2008
1977,Cleveland rep,2008
1979,MFA rep,2006
1992,MFA rep,2006
1979,MFA rep,2006
1989,MFA rep,2006
2006,MFA rep,2006
1978,MFA rep,2006
1979,MFA rep,2006
1977,MFA rep,2006
1991,MFA rep,2006
1988,MFA rep,2006
1988,MFA rep,2006
1971,MFA rep,2006
1998,MFA rep,2006
1988,Fleischman Getty rep,2007
1989,Fleischman Getty rep,2007
1988,Fleischman Getty rep,2007
1995,2007 Princeton rep,2007
1995,2007 Princeton rep,2007
1995,2007 Princeton rep,2007
1989,2007 Princeton rep,2007
1985,Royal-Athena rep,2007
1990,Royal-Athena rep,2007
1987,Royal-Athena rep,2007
1985,2008 MET rep,2008
1990,2008 MET rep,2008
1993,2011 Princeton rep,2011
1995,2011 Princeton rep,2011
1999,2011 Princeton rep,2011
1996,2011 Princeton rep,2011
1999,2011 Princeton rep,2011
2002,2011 Princeton rep,2011
1997,2011 Princeton rep,2011
